Time Base:500μs,
Sampling Rate:5.00MSa/s,
Amplitude:2.00V,
Amplitude resolution:80.00mV,
Data Uint:mv,
Data points:64000,
 -1.60E+02,2.3375e-05
 -1.60E+02,2.35e-05
 -1.60E+02,2.3624999999999998e-05
 -1.60E+02,2.3749999999999998e-05
 -8.00E+01,2.3874999999999998e-05
 -8.00E+01,2.4e-05
  0.00E+00,2.4125e-05
 -1.60E+02,2.425e-05
  0.00E+00,2.4375e-05
 -8.00E+01,2.45e-05
 -8.00E+01,2.4625e-05
  0.00E+00,2.475e-05
  0.00E+00,2.4874999999999998e-05
  0.00E+00,2.4999999999999998e-05
  0.00E+00,2.5124999999999997e-05
  8.00E+01,2.525e-05
  0.00E+00,2.5375e-05
  8.00E+01,2.55e-05
  0.00E+00,2.5625e-05
  8.00E+01,2.575e-05
  1.60E+02,2.5875e-05
  8.00E+01,2.6e-05
  8.00E+01,2.6124999999999998e-05
  8.00E+01,2.6249999999999998e-05
  0.00E+00,2.6374999999999997e-05
  0.00E+00,2.65e-05
  8.00E+01,2.6625e-05
  8.00E+01,2.675e-05
  0.00E+00,2.6875e-05
  8.00E+01,2.7e-05
  0.00E+00,2.7125e-05
  8.00E+01,2.7249999999999998e-05
  8.00E+01,2.7374999999999998e-05
 -8.00E+01,2.7499999999999998e-05
  0.00E+00,2.7624999999999997e-05
  0.00E+00,2.775e-05
  0.00E+00,2.7875e-05
  0.00E+00,2.8e-05
 -8.00E+01,2.8125e-05
  8.00E+01,2.825e-05
  0.00E+00,2.8375e-05
  0.00E+00,2.8499999999999998e-05
  0.00E+00,2.8624999999999998e-05
  8.00E+01,2.8749999999999997e-05
  0.00E+00,2.8874999999999997e-05
  8.00E+01,2.9e-05
  0.00E+00,2.9125e-05
  8.00E+01,2.925e-05
  8.00E+01,2.9375e-05
  0.00E+00,2.95e-05
  0.00E+00,2.9625e-05
  0.00E+00,2.9749999999999998e-05
  8.00E+01,2.9874999999999998e-05
  0.00E+00,2.9999999999999997e-05
  8.00E+01,3.0124999999999997e-05
  8.00E+01,3.025e-05
  0.00E+00,3.0375e-05
  0.00E+00,3.05e-05
  0.00E+00,3.0625e-05
  0.00E+00,3.0749999999999995e-05
  8.00E+01,3.0875e-05
  8.00E+01,3.1e-05
  0.00E+00,3.1125e-05
  0.00E+00,3.125e-05
  0.00E+00,3.1375e-05
